,City,Suburb,Sales Q3 2016,"Median
3Q 2016",Sales Q4 2016,Median Q4 2016,Sales Q1 2017,Median Q1 2017,Sales Q2 2017,Median Q2 2017
0,ADELAIDE,ADELAIDE,6.0,747500.0,6.0,683000.0,6.0,627500.0,6.0,900000.0
1,ADELAIDE,NORTH ADELAIDE,6.0,932000.0,6.0,1231000.0,6.0,992500.0,6.0,1451000.0
2,ADELAIDE HILLS,ALDGATE,13.0,665000.0,10.0,695000.0,14.0,695000.0,20.0,756000.0
5,ADELAIDE HILLS,BELAIR,8.0,605000.0,18.0,623000.0,18.0,700000.0,19.0,658250.0
7,ADELAIDE HILLS,BRIDGEWATER,16.0,536250.0,12.0,490500.0,18.0,435475.0,19.0,475000.0
12,ADELAIDE HILLS,CRAFERS,9.0,675000.0,8.0,621500.0,11.0,775250.0,7.0,770000.0
13,ADELAIDE HILLS,CRAFERS WEST,5.0,599000.0,6.0,787500.0,3.0,562500.0,4.0,851500.0
27,ADELAIDE HILLS,ROSTREVOR,22.0,563000.0,29.0,556250.0,29.0,580000.0,28.0,581500.0
29,ADELAIDE HILLS,STIRLING,6.0,645000.0,13.0,822000.0,17.0,780000.0,18.0,730000.0
30,ADELAIDE HILLS,STONYFELL,4.0,790000.0,7.0,890000.0,8.0,946000.0,5.0,1200000.0
31,ADELAIDE HILLS,SUMMERTOWN,3.0,590000.0,1.0,550000.0,3.0,621500.0,3.0,649000.0
32,ADELAIDE HILLS,TERINGIE,2.0,974750.0,2.0,578000.0,1.0,779500.0,4.0,827500.0
33,ADELAIDE HILLS,UPPER STURT,1.0,450000.0,5.0,532500.0,1.0,530000.0,2.0,521250.0
37,BURNSIDE,AULDANA,5.0,937500.0,1.0,2535000.0,2.0,759000.0,2.0,1555000.0
38,BURNSIDE,BEAUMONT,8.0,880000.0,7.0,825000.0,10.0,1050000.0,10.0,877500.0
39,BURNSIDE,BEULAH PARK,3.0,740000.0,6.0,810500.0,4.0,798000.0,4.0,648000.0
40,BURNSIDE,BURNSIDE,11.0,890000.0,8.0,688000.0,11.0,873500.0,10.0,823000.0
41,BURNSIDE,DULWICH,1.0,1300000.0,7.0,985000.0,2.0,1390000.0,1.0,1010000.0
42,BURNSIDE,EASTWOOD,2.0,520000.0,2.0,539000.0,5.0,635000.0,2.0,1062500.0
43,BURNSIDE,ERINDALE,2.0,1024000.0,5.0,1096000.0,4.0,1145000.0,4.0,1330000.0
44,BURNSIDE,FREWVILLE,2.0,890500.0,3.0,643000.0,3.0,900000.0,2.0,726500.0
45,BURNSIDE,GLEN OSMOND,10.0,880000.0,10.0,1150000.0,6.0,1007500.0,12.0,870000.0
46,BURNSIDE,GLENSIDE,4.0,1004000.0,3.0,824000.0,4.0,858250.0,2.0,717000.0
47,BURNSIDE,GLENUNGA,8.0,941500.0,5.0,969444.0,11.0,1000000.0,10.0,1228000.0
48,BURNSIDE,HAZELWOOD PARK,6.0,780000.0,6.0,914500.0,10.0,828125.0,8.0,1207000.0
50,BURNSIDE,KENSINGTON GARDENS,6.0,880000.0,7.0,1000000.0,5.0,733000.0,11.0,1230000.0
51,BURNSIDE,KENSINGTON PARK,7.0,863000.0,15.0,953250.0,15.0,890000.0,7.0,1005000.0
52,BURNSIDE,LEABROOK,3.0,1250000.0,4.0,1262500.0,5.0,1670000.0,4.0,1550000.0
54,BURNSIDE,LINDEN PARK,4.0,775000.0,8.0,815000.0,7.0,850000.0,6.0,873000.0
55,BURNSIDE,MAGILL,34.0,647750.0,25.0,686000.0,35.0,645000.0,37.0,677000.0
56,BURNSIDE,MOUNT OSMOND,1.0,800000.0,1.0,670000.0,2.0,915000.0,2.0,1145000.0
58,BURNSIDE,ROSSLYN PARK,5.0,877500.0,5.0,770000.0,5.0,960500.0,9.0,1055000.0
60,BURNSIDE,ST GEORGES,2.0,816499.5,6.0,967500.0,9.0,915000.0,9.0,982500.0
61,BURNSIDE,STONYFELL,4.0,790000.0,7.0,890000.0,8.0,946000.0,5.0,1200000.0
62,BURNSIDE,TOORAK GARDENS,5.0,917500.0,8.0,1237000.0,6.0,1320000.0,3.0,1420000.0
63,BURNSIDE,TUSMORE,1.0,700000.0,7.0,900000.0,3.0,1027500.0,6.0,1420000.0
65,BURNSIDE,WATTLE PARK,9.0,722000.0,8.0,835000.0,5.0,828500.0,16.0,805000.0
66,CAMPBELLTOWN,ATHELSTONE,25.0,490000.0,41.0,518500.0,25.0,532000.0,30.0,461750.0
67,CAMPBELLTOWN,CAMPBELLTOWN,31.0,521000.0,48.0,510000.0,24.0,528000.0,32.0,535000.0
68,CAMPBELLTOWN,HECTORVILLE,11.0,570000.0,10.0,625000.0,16.0,495000.0,14.0,581000.0
69,CAMPBELLTOWN,MAGILL,34.0,647750.0,25.0,686000.0,35.0,645000.0,37.0,677000.0
70,CAMPBELLTOWN,NEWTON,14.0,532500.0,12.0,485100.0,16.0,570000.0,17.0,482500.0
71,CAMPBELLTOWN,PARADISE,16.0,527000.0,23.0,500000.0,24.0,520000.0,22.0,522500.0
72,CAMPBELLTOWN,ROSTREVOR,22.0,563000.0,29.0,556250.0,29.0,580000.0,28.0,581500.0
73,CAMPBELLTOWN,TRANMERE,16.0,562000.0,13.0,700000.0,12.0,670000.0,12.0,638000.0
74,CHARLES STURT,ALBERT PARK,5.0,525000.0,5.0,475000.0,6.0,400000.0,11.0,430000.0
75,CHARLES STURT,ALLENBY GARDENS,4.0,521500.0,6.0,631000.0,4.0,725000.0,5.0,585000.0
76,CHARLES STURT,ATHOL PARK,5.0,380000.0,7.0,363000.0,7.0,320000.0,14.0,382000.0
77,CHARLES STURT,BEVERLEY,3.0,500000.0,4.0,496000.0,2.0,449125.0,4.0,505000.0
79,CHARLES STURT,BROMPTON,8.0,565000.0,10.0,520300.0,9.0,557550.0,13.0,575000.0
80,CHARLES STURT,CHELTENHAM,5.0,448000.0,9.0,465500.0,3.0,405220.0,7.0,446000.0
83,CHARLES STURT,FINDON,7.0,505000.0,23.0,520750.0,20.0,512500.0,22.0,495000.0
84,CHARLES STURT,FLINDERS PARK,16.0,562750.0,20.0,573000.0,20.0,587500.0,25.0,555000.0
85,CHARLES STURT,FULHAM GARDENS,14.0,640000.0,13.0,650000.0,20.0,620000.0,11.0,615000.0
86,CHARLES STURT,GRANGE,18.0,683000.0,20.0,700000.0,16.0,762500.0,23.0,730000.0
87,CHARLES STURT,HENDON,7.0,388760.5,10.0,420750.0,6.0,405000.0,5.0,375000.0
88,CHARLES STURT,HENLEY BEACH,16.0,708000.0,22.0,845000.0,20.0,705500.0,16.0,799000.0
89,CHARLES STURT,HENLEY BEACH SOUTH,10.0,743500.0,12.0,831000.0,7.0,690000.0,5.0,662000.0
91,CHARLES STURT,KIDMAN PARK,6.0,602500.0,11.0,620000.0,18.0,573000.0,9.0,596000.0
92,CHARLES STURT,KILKENNY,6.0,442500.0,3.0,610000.0,3.0,489000.0,4.0,590000.0
94,CHARLES STURT,PENNINGTON,8.0,380500.0,13.0,390000.0,4.0,390000.0,16.0,393000.0
95,CHARLES STURT,RENOWN PARK,1.0,305000.0,3.0,498000.0,3.0,555000.0,5.0,495000.0
96,CHARLES STURT,RIDLEYTON,4.0,520000.0,3.0,512500.0,5.0,645000.0,5.0,546550.0
97,CHARLES STURT,ROSEWATER,14.0,375000.0,13.0,347500.0,12.0,350000.0,19.0,348000.0
98,CHARLES STURT,ROYAL PARK,10.0,363500.0,17.0,385000.0,12.0,400000.0,15.0,467500.0
99,CHARLES STURT,SEATON,27.0,478000.0,38.0,491000.0,37.0,525000.0,28.0,507500.0
100,CHARLES STURT,SEMAPHORE PARK,9.0,498750.0,13.0,530500.0,11.0,470000.0,14.0,490000.0
101,CHARLES STURT,ST CLAIR,3.0,549000.0,7.0,720000.0,4.0,641000.0,6.0,701500.0
102,CHARLES STURT,TENNYSON,5.0,1000000.0,5.0,1050000.0,3.0,1800000.0,2.0,1855000.0
104,CHARLES STURT,WEST BEACH,18.0,660000.0,11.0,575000.0,12.0,670000.0,13.0,740000.0
105,CHARLES STURT,WEST CROYDON,5.0,585000.0,14.0,533000.0,11.0,539000.0,13.0,599000.0
106,CHARLES STURT,WEST HINDMARSH,4.0,547500.0,3.0,435000.0,4.0,492000.0,2.0,535800.0
107,CHARLES STURT,WEST LAKES,14.0,735000.0,10.0,720000.0,21.0,707500.0,20.0,675000.0
108,CHARLES STURT,WEST LAKES SHORE,5.0,677000.0,11.0,684500.0,10.0,555000.0,5.0,685000.0
109,CHARLES STURT,WOODVILLE,3.0,550000.0,6.0,590000.0,2.0,493800.0,4.0,598000.0
110,CHARLES STURT,WOODVILLE NORTH,6.0,415000.0,6.0,384500.0,5.0,540000.0,4.0,370000.0
111,CHARLES STURT,WOODVILLE PARK,5.0,605000.0,2.0,625000.0,4.0,591250.0,6.0,585000.0
112,CHARLES STURT,WOODVILLE SOUTH,20.0,518000.0,17.0,491000.0,17.0,535500.0,11.0,562500.0
113,CHARLES STURT,WOODVILLE WEST,23.0,496500.0,20.0,431250.0,12.0,511000.0,24.0,445000.0
115,GAWLER,EVANSTON,10.0,286000.0,6.0,329750.0,8.0,313000.0,12.0,307500.0
116,GAWLER,EVANSTON GARDENS,9.0,304175.0,8.0,254000.0,6.0,325000.0,7.0,294000.0
117,GAWLER,EVANSTON PARK,14.0,332000.0,20.0,330000.0,24.0,342500.0,20.0,370000.0
119,GAWLER,GAWLER,2.0,230000.0,1.0,340000.0,2.0,442500.0,2.0,297500.0
120,GAWLER,GAWLER EAST,21.0,400000.0,24.0,395000.0,34.0,360000.0,30.0,365000.0
121,GAWLER,GAWLER SOUTH,14.0,305000.0,12.0,282475.0,13.0,278250.0,17.0,330000.0
122,GAWLER,GAWLER WEST,3.0,325000.0,4.0,257500.0,2.0,202750.0,3.0,305000.0
125,GAWLER,REID,4.0,375000.0,2.0,388000.0,4.0,408500.0,2.0,460000.0
127,GAWLER,WILLASTON,14.0,342000.0,16.0,306250.0,18.0,312250.0,21.0,319950.0
128,HOLDFAST BAY,BRIGHTON,8.0,651000.0,12.0,787000.0,11.0,606000.0,11.0,845500.0
129,HOLDFAST BAY,GLENELG,3.0,940500.0,3.0,930000.0,1.0,785000.0,5.0,1067500.0
130,HOLDFAST BAY,GLENELG EAST,12.0,707500.0,7.0,750000.0,8.0,925000.0,10.0,897250.0
131,HOLDFAST BAY,GLENELG NORTH,20.0,610000.0,25.0,702500.0,22.0,680000.0,11.0,692500.0
132,HOLDFAST BAY,GLENELG SOUTH,4.0,1012500.0,3.0,830000.0,3.0,780000.0,8.0,1400000.0
133,HOLDFAST BAY,HOVE,6.0,620000.0,6.0,712000.0,10.0,617750.0,10.0,682500.0
135,HOLDFAST BAY,NORTH BRIGHTON,1.0,637000.0,5.0,585000.0,12.0,632500.0,7.0,670000.0
136,HOLDFAST BAY,SEACLIFF,10.0,675005.0,5.0,830000.0,3.0,1010000.0,6.0,670000.0
137,HOLDFAST BAY,SEACLIFF PARK,7.0,512000.0,12.0,514500.0,7.0,505000.0,8.0,502500.0
138,HOLDFAST BAY,SOMERTON PARK,13.0,676500.0,18.0,765555.0,15.0,760000.0,21.0,850000.0
139,HOLDFAST BAY,SOUTH BRIGHTON,8.0,612500.0,7.0,680000.0,11.0,530000.0,11.0,726000.0
140,MARION,ASCOT PARK,9.0,410000.0,9.0,420000.0,9.0,453500.0,5.0,530000.0
141,MARION,BEDFORD PARK,4.0,441750.0,3.0,430000.0,4.0,448000.0,2.0,475000.0
142,MARION,CLOVELLY PARK,8.0,446500.0,10.0,466000.0,17.0,475000.0,15.0,440000.0
143,MARION,DARLINGTON,8.0,635250.5,7.0,440000.0,4.0,935000.0,7.0,410000.0
144,MARION,DOVER GARDENS,13.0,480000.0,11.0,485000.0,9.0,535000.0,14.0,475000.0
145,MARION,EDWARDSTOWN,12.0,469500.0,15.0,419250.0,11.0,505750.0,17.0,500000.0
146,MARION,GLANDORE,6.0,645000.0,6.0,605555.5,10.0,733000.0,5.0,772000.0
147,MARION,GLENGOWRIE,17.0,676000.0,17.0,647500.0,19.0,637500.0,18.0,641500.0
148,MARION,HALLETT COVE,44.0,460000.0,57.0,435000.0,53.0,465000.0,48.0,490000.0
150,MARION,MARINO,5.0,1075000.0,9.0,601250.0,8.0,768500.0,15.0,728500.0
151,MARION,MARION,8.0,441350.0,17.0,525000.0,10.0,507000.0,15.0,537500.0
152,MARION,MITCHELL PARK,11.0,460000.0,12.0,460000.0,16.0,477000.0,23.0,451000.0
153,MARION,MORPHETTVILLE,7.0,510000.0,6.0,517500.0,7.0,480500.0,9.0,505000.0
154,MARION,OAKLANDS PARK,7.0,455000.0,11.0,479000.0,8.0,460000.0,8.0,540000.0
155,MARION,O'HALLORAN HILL,4.0,367500.0,14.0,358500.0,16.0,363000.0,12.0,350000.0
156,MARION,PARK HOLME,3.0,447000.0,8.0,483750.0,8.0,488750.0,17.0,524250.0
157,MARION,PLYMPTON PARK,16.0,540000.0,15.0,530000.0,11.0,580000.0,15.0,540500.0
158,MARION,SEACLIFF PARK,7.0,512000.0,12.0,514500.0,7.0,505000.0,8.0,502500.0
159,MARION,SEACOMBE GARDENS,16.0,451000.0,10.0,457500.0,11.0,441000.0,7.0,482500.0
160,MARION,SEACOMBE HEIGHTS,3.0,518000.0,4.0,440000.0,4.0,477500.0,6.0,502000.0
161,MARION,SEAVIEW DOWNS,12.0,510000.0,8.0,467500.0,8.0,597500.0,11.0,450000.0
162,MARION,SHEIDOW PARK,17.0,395000.0,25.0,387500.0,23.0,446000.0,32.0,429500.0
163,MARION,SOUTH PLYMPTON,12.0,521250.0,18.0,501500.0,10.0,434000.0,20.0,561000.0
164,MARION,STURT,10.0,454250.0,18.0,450000.0,10.0,436000.0,16.0,469500.0
165,MARION,TROTT PARK,14.0,353500.0,11.0,360000.0,14.0,377000.0,16.0,385000.0
166,MARION,WARRADALE,21.0,585000.0,19.0,489750.0,17.0,616000.0,18.0,603000.0
167,MITCHAM,BEDFORD PARK,4.0,441750.0,3.0,430000.0,4.0,448000.0,2.0,475000.0
168,MITCHAM,BELAIR,8.0,605000.0,18.0,623000.0,18.0,700000.0,19.0,658250.0
169,MITCHAM,BELLEVUE HEIGHTS,7.0,585000.0,9.0,527500.0,8.0,505000.0,7.0,588000.0
170,MITCHAM,BLACKWOOD,6.0,490000.0,17.0,508750.0,11.0,477500.0,12.0,525000.0
172,MITCHAM,CLAPHAM,5.0,600000.0,2.0,626250.0,10.0,654000.0,6.0,495250.0
173,MITCHAM,CLARENCE GARDENS,7.0,600000.0,8.0,571000.0,8.0,634250.0,6.0,677500.0
174,MITCHAM,COLONEL LIGHT GARDENS,8.0,678000.0,10.0,742500.0,7.0,845650.0,7.0,741500.0
175,MITCHAM,COROMANDEL VALLEY,16.0,465000.0,13.0,490000.0,16.0,546250.0,22.0,530000.0
176,MITCHAM,CRAFERS WEST,5.0,599000.0,6.0,787500.0,3.0,562500.0,4.0,851500.0
177,MITCHAM,CRAIGBURN FARM,6.0,618500.0,8.0,694000.0,9.0,635000.0,4.0,582500.0
178,MITCHAM,CUMBERLAND PARK,3.0,590000.0,8.0,725000.0,10.0,671500.0,8.0,810000.0
179,MITCHAM,DAW PARK,6.0,660500.0,16.0,589250.0,11.0,535000.0,10.0,682500.0
180,MITCHAM,EDEN HILLS,6.0,569250.0,13.0,545000.0,12.0,527000.0,13.0,520500.0
181,MITCHAM,GLENALTA,6.0,480000.0,10.0,520000.0,9.0,510000.0,10.0,510000.0
182,MITCHAM,HAWTHORN,5.0,670000.0,6.0,816000.0,7.0,1200005.0,6.0,1065000.0
183,MITCHAM,HAWTHORNDENE,12.0,512500.0,14.0,496000.0,9.0,520000.0,16.0,575750.0
184,MITCHAM,KINGSWOOD,5.0,1004000.0,7.0,900000.0,8.0,807000.0,7.0,1000000.0
186,MITCHAM,LOWER MITCHAM,7.0,690000.0,2.0,651000.0,10.0,786000.0,10.0,825000.0
188,MITCHAM,MELROSE PARK,10.0,502500.0,7.0,500000.0,12.0,546000.0,11.0,551700.0
189,MITCHAM,MITCHAM,1.0,776000.0,6.0,688500.0,7.0,1030000.0,5.0,830000.0
191,MITCHAM,PANORAMA,9.0,555500.0,8.0,521000.0,16.0,621310.0,12.0,585000.0
192,MITCHAM,PASADENA,6.0,548000.0,14.0,610000.0,11.0,563000.0,11.0,524000.0
194,MITCHAM,ST MARYS,9.0,450000.0,15.0,480000.0,7.0,480000.0,9.0,474000.0
195,MITCHAM,TORRENS PARK,6.0,747500.0,12.0,785000.0,6.0,779000.0,10.0,730000.0
196,MITCHAM,UPPER STURT,1.0,450000.0,5.0,532500.0,1.0,530000.0,2.0,521250.0
197,MITCHAM,URRBRAE,6.0,828500.0,4.0,850500.0,5.0,820000.0,6.0,934000.0
198,MITCHAM,WESTBOURNE PARK,5.0,930000.0,9.0,681000.0,7.0,810000.0,3.0,822000.0
200,NORWOOD PAYNEHAM & ST PETERS,EVANDALE,1.0,765000.0,1.0,725000.0,6.0,775500.0,5.0,900000.0
201,NORWOOD PAYNEHAM & ST PETERS,FELIXSTOW,9.0,563000.0,8.0,602500.0,4.0,607500.0,7.0,666000.0
202,NORWOOD PAYNEHAM & ST PETERS,FIRLE,6.0,635900.0,4.0,700000.0,2.0,775250.0,9.0,794000.0
203,NORWOOD PAYNEHAM & ST PETERS,GLYNDE,3.0,578500.0,2.0,775000.0,1.0,600000.0,7.0,620000.0
207,NORWOOD PAYNEHAM & ST PETERS,KENSINGTON,1.0,570000.0,4.0,618000.0,1.0,835000.0,1.0,618000.0
208,NORWOOD PAYNEHAM & ST PETERS,KENT TOWN,1.0,1240000.0,2.0,1083000.0,1.0,589500.0,2.0,1050000.0
209,NORWOOD PAYNEHAM & ST PETERS,MARDEN,5.0,650000.0,6.0,652500.0,3.0,670000.0,13.0,725000.0
211,NORWOOD PAYNEHAM & ST PETERS,MAYLANDS,6.0,682500.0,6.0,955130.0,2.0,1035000.0,8.0,862250.0
212,NORWOOD PAYNEHAM & ST PETERS,NORWOOD,8.0,840000.0,17.0,975000.0,12.0,801000.0,17.0,900000.0
213,NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM,4.0,600000.0,5.0,700000.0,6.0,670000.0,4.0,588000.0
214,NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM SOUTH,5.0,895000.0,9.0,735380.0,5.0,800000.0,7.0,680000.0
215,NORWOOD PAYNEHAM & ST PETERS,ROYSTON PARK,3.0,1100000.0,4.0,866000.0,8.0,936250.0,3.0,910000.0
216,NORWOOD PAYNEHAM & ST PETERS,ST MORRIS,1.0,660000.0,7.0,690500.0,2.0,733000.0,6.0,834000.0
217,NORWOOD PAYNEHAM & ST PETERS,ST PETERS,8.0,1325000.0,8.0,1350500.0,13.0,1130000.0,6.0,1525000.0
218,NORWOOD PAYNEHAM & ST PETERS,STEPNEY,2.0,850000.0,1.0,590000.0,2.0,784500.0,5.0,751000.0
219,NORWOOD PAYNEHAM & ST PETERS,TRINITY GARDENS,3.0,700000.0,3.0,1075000.0,3.0,830000.0,8.0,840000.0
220,ONKAPARINGA,ABERFOYLE PARK,39.0,412500.0,57.0,395000.0,32.0,417500.0,40.0,445000.0
222,ONKAPARINGA,ALDINGA BEACH,41.0,347500.0,53.0,349000.0,61.0,352200.0,66.0,358500.0
224,ONKAPARINGA,CHANDLERS HILL,1.0,450000.0,5.0,590000.0,2.0,742500.0,2.0,570000.0
226,ONKAPARINGA,CHRISTIE DOWNS,14.0,260750.0,26.0,265100.0,19.0,268000.0,15.0,265000.0
227,ONKAPARINGA,CHRISTIES BEACH,20.0,341500.0,33.0,357000.0,32.0,360000.0,24.0,360000.0
230,ONKAPARINGA,COROMANDEL VALLEY,16.0,465000.0,13.0,490000.0,16.0,546250.0,22.0,530000.0
231,ONKAPARINGA,CRAIGBURN FARM,6.0,618500.0,8.0,694000.0,9.0,635000.0,4.0,582500.0
232,ONKAPARINGA,DARLINGTON,8.0,635250.5,7.0,440000.0,4.0,935000.0,7.0,410000.0
234,ONKAPARINGA,FLAGSTAFF HILL,44.0,470000.0,36.0,477000.0,40.0,482000.0,42.0,505000.0
235,ONKAPARINGA,HACKHAM,16.0,285000.0,22.0,265500.0,12.0,278500.0,17.0,280000.0
236,ONKAPARINGA,HACKHAM WEST,11.0,267500.0,7.0,260000.0,11.0,260000.0,17.0,252000.0
